,,,,,,,
Year,Source,Product Name,Country Name,Volume (kg),Value (USD),Calculated Duty (USD),Edible code
2005,IMP,GROUNDFISH COD NSPF FILLET FROZEN,NORWAY,"82,936","527,785",0,E
2006,IMP,GROUNDFISH OCEAN PERCH ATLANTIC FILLET FROZEN,ICELAND,"27,538","174,452",0,E
2006,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE > 6.8KG,NORWAY,"58,615","572,464",0,E
2006,IMP,GROUNDFISH COD NSPF FILLET FROZEN,IRELAND,"1,497","5,345",0,E
1990,IMP,GROUNDFISH OCEAN PERCH ATLANTIC FILLET FROZEN,ICELAND,"830,106","2,420,266","34,316",E
1991,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,"88,503","552,705",178,E
1993,IMP,GROUNDFISH HADDOCK FILLET FROZEN,DENMARK,"35,626","243,029","1,474",E
1992,IMP,"GROUNDFISH COD,CUSK,HADDOCK,HAKE,POLLOCK SMOKED",UNITED KINGDOM,"60,630","281,781",0,E
1993,IMP,GROUNDFISH HADDOCK FILLET FRESH,ICELAND,"3,290","22,826",135,E
1994,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,"4,635","44,228",9,E
1993,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,IRELAND,997,"8,800",41,E
1994,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,"124,365","933,988",251,E
1994,IMP,GROUNDFISH HADDOCK FILLET FRESH,ICELAND,"967,375","5,709,776","39,998",E
1995,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE > 6.8KG,ICELAND,"27,642","228,847",0,E
1994,IMP,GROUNDFISH POLLOCK NSPF FILLET FROZEN,UNITED KINGDOM,"149,553","350,778","6,183",E
1994,IMP,GROUNDFISH COD NSPF DRIED,GERMANY,900,"9,734",2,E
1995,IMP,GROUNDFISH OCEAN PERCH NSPF FROZEN,ICELAND,"5,313","16,234",48,E
1995,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,"5,580","67,505",12,E
1996,IMP,GROUNDFISH HADDOCK FILLET BLOCKS FROZEN > 4.5KG,NORWAY,"13,690","65,000",0,E
1998,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE > 6.8KG,ICELAND,"1,976","7,621",0,E
1998,IMP,GROUNDFISH POLLOCK NSPF FILLET FROZEN,ICELAND,"263,837","891,781","2,111",E
1998,IMP,GROUNDFISH HADDOCK FROZEN,PORTUGAL,"3,807","10,811",0,E
1997,IMP,GROUNDFISH POLLOCK NSPF FILLET FROZEN,UNITED KINGDOM,"47,583","105,543",765,E
1998,IMP,GROUNDFISH OCEAN PERCH ATLANTIC FILLET FROZEN,FRANCE,"2,700","11,461",22,E
1999,IMP,GROUNDFISH COD ATLANTIC FROZEN,NORWAY,"16,253","37,940",0,E
1991,IMP,GROUNDFISH COD ATLANTIC FILLET FROZEN,NORWAY,"819,709","4,756,353","33,888",E
2000,IMP,GROUNDFISH COD NSPF MINCED FROZEN > 6.8KG,ICELAND,"85,020","94,063",0,E
1995,IMP,GROUNDFISH POLLOCK NSPF FILLET BLOCKS FROZEN > 4.5KG,ICELAND,"130,379","316,051",0,E
2001,IMP,GROUNDFISH OCEAN PERCH ATLANTIC FILLET FRESH,ICELAND,861,"4,916",0,E
2001,IMP,GROUNDFISH OCEAN PERCH ATLANTIC FILLET FROZEN,ICELAND,"535,425","2,043,443",0,E
2001,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE > 6.8KG,NORWAY,"2,700","42,900",0,E
2002,IMP,GROUNDFISH COD ATLANTIC FILLET FROZEN,NORWAY,"2,802,103","18,534,031",0,E
2004,IMP,GROUNDFISH COD NSPF FILLET BLOCKS FROZEN > 4.5KG,NORWAY,"221,496","1,001,383",0,E
2006,IMP,GROUNDFISH COD ATLANTIC FILLET FROZEN,ICELAND,"1,467,827","11,892,896",0,E
2007,IMP,GROUNDFISH POLLOCK NSPF FILLET FROZEN,PORTUGAL,"216,691","658,640",0,E
1989,IMP,"GROUNDFISH CUSK,HADDOCK,HAKE,POLLOCK FILLET FROZEN",DENMARK,"643,715","2,691,940","26,611",E
2006,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,ICELAND,472,"5,720",0,E
2007,IMP,GROUNDFISH HADDOCK FROZEN,ICELAND,453,"4,770",0,E
1990,IMP,GROUNDFISH HADDOCK FILLET BLOCKS FROZEN > 4.5KG,DENMARK,"809,467","4,139,913",0,E
1989,IMP,GROUNDFISH POLLOCK NSPF FILLET BLOCKS FROZEN > 4.5KG,ICELAND,"1,063,046","1,752,207",0,E
1991,IMP,GROUNDFISH HADDOCK FILLET FRESH,ICELAND,"856,928","5,228,703","35,424",E
1995,IMP,GROUNDFISH COD NSPF FILLET FROZEN,NORWAY,"2,377,265","12,352,544","78,445",E
1995,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,"51,249","549,486",105,E
1995,IMP,GROUNDFISH HADDOCK FILLET FROZEN,NORWAY,"123,218","662,979","4,067",E
1997,IMP,GROUNDFISH COD ATLANTIC FILLET FROZEN,ICELAND,"16,772,414","82,629,062","276,317",E
1995,IMP,GROUNDFISH CUSK FROZEN,PORTUGAL,"6,240","25,313",0,E
1998,IMP,GROUNDFISH COD NSPF MEAT FROZEN > 6.8KG,NORWAY,"25,147","92,997",0,E
1999,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE > 6.8KG,DENMARK,480,"2,105",0,E
2000,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE > 6.8KG,SPAIN,"23,379","104,000",0,E
2002,IMP,GROUNDFISH HADDOCK FILLET FRESH,ICELAND,"771,629","6,315,730",0,E
2001,IMP,GROUNDFISH OCEAN PERCH ATLANTIC FILLET FROZEN,ICELAND,"3,890","6,903",0,E
2002,IMP,GROUNDFISH POLLOCK ATLANTIC FRESH,ICELAND,"11,208","43,995",0,E
2003,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE > 6.8KG,NORWAY,"368,841","3,083,112",0,E
2003,IMP,GROUNDFISH COD ATLANTIC FILLET FROZEN,ICELAND,"7,518,704","45,755,525",0,E
2002,IMP,"GROUNDFISH CUSK,POLLOCK FILLET FRESH",ICELAND,"10,917","41,992",0,E
2004,IMP,"GROUNDFISH COD,CUSK,HADDOCK,HAKE,POLLOCK SMOKED",NORWAY,204,"4,977",0,E
2004,IMP,GROUNDFISH COD ATLANTIC FRESH,ICELAND,"12,163","87,513",0,E
2004,IMP,GROUNDFISH COD ATLANTIC FILLET FROZEN,NORWAY,"40,740","275,916",0,E
2006,IMP,GROUNDFISH HADDOCK FILLET BLOCKS FROZEN > 4.5KG,ICELAND,"197,576","857,562",0,E
2005,IMP,GROUNDFISH COD NSPF FRESH,ICELAND,"2,958","28,280",0,E
2006,IMP,GROUNDFISH COD NSPF SALTED MOISTURE CONTENT NOT > 43%,NORWAY,"1,380","13,060",0,E
2006,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE > 6.8KG,ICELAND,300,"3,318",0,E
1989,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,"7,609","39,735",16,E
2007,IMP,GROUNDFISH COD NSPF FILLET FRESH,ICELAND,272,"3,600",0,E
1990,IMP,GROUNDFISH HADDOCK FILLET FROZEN,ICELAND,"1,526,783","8,021,744","63,118",E
1991,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE > 6.8KG,NORWAY,"13,383","49,326",0,E
1994,IMP,GROUNDFISH HADDOCK FILLET BLOCKS FROZEN > 4.5KG,UNITED KINGDOM,871,"5,094",0,E
1997,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE > 6.8KG,DENMARK,"9,164","54,501",0,E
1995,IMP,GROUNDFISH POLLOCK ATLANTIC FROZEN,ICELAND,"18,415","79,212",0,E
1996,IMP,GROUNDFISH COD NSPF FILLET BLOCKS FROZEN > 4.5KG,NORWAY,"2,084,690","6,690,726",0,E
1998,IMP,GROUNDFISH HADDOCK FILLET FRESH,ICELAND,"596,138","3,754,752","4,765",E
1999,IMP,GROUNDFISH HADDOCK FILLET FROZEN,UNITED KINGDOM,"76,805","497,496",0,E
2000,IMP,GROUNDFISH HADDOCK FILLET BLOCKS FROZEN > 4.5KG,DENMARK,"416,425","2,046,556",0,E
2002,IMP,GROUNDFISH HADDOCK FILLET FRESH,NORWAY,"2,488","22,960",0,E
2003,IMP,GROUNDFISH HADDOCK FILLET FRESH,ICELAND,"23,075","199,689",0,E
2004,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,"113,495","1,576,175",0,E
2004,IMP,GROUNDFISH COD NSPF FILLET FRESH,ICELAND,"12,177","67,814",0,E
2005,IMP,GROUNDFISH HAKE (UROPHYCIS SPP.) FILLET FROZEN,SPAIN,"7,490","41,672",0,E
2006,IMP,GROUNDFISH COD ATLANTIC FILLET FROZEN,NORWAY,"380,863","3,390,690",0,E
2005,IMP,"GROUNDFISH CUSK,POLLOCK FILLET FRESH",ICELAND,"1,572","10,153",0,E
2007,IMP,GROUNDFISH COD NSPF FRESH,ICELAND,"18,255","168,617",0,E
2007,IMP,GROUNDFISH HADDOCK FROZEN,ICELAND,779,"7,945",0,E
1991,IMP,GROUNDFISH POLLOCK NSPF FILLET BLOCKS FROZEN > 4.5KG,NORWAY,"43,410","82,099",0,E
1990,IMP,GROUNDFISH HADDOCK FILLET FROZEN,NORWAY,"161,682","839,118","6,684",E
1992,IMP,GROUNDFISH POLLOCK NSPF FILLET FROZEN,UNITED KINGDOM,"167,850","459,659","6,938",E
1992,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,"58,437","430,669",117,E
1992,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,"16,500","87,250",0,E
1994,IMP,GROUNDFISH COD ATLANTIC FILLET BLOCKS FROZEN > 4.5KG,DENMARK,"386,919","1,418,496",0,E
1995,IMP,GROUNDFISH COD ATLANTIC FILLET FROZEN,UNITED KINGDOM,"158,580","780,112","5,231",E
1998,IMP,"GROUNDFISH COD,CUSK,HADDOCK,HAKE,POLLOCK SMOKED",NORWAY,"6,840","55,584",0,E
1998,IMP,GROUNDFISH COD NSPF DRIED,SWEDEN,"1,800","23,650",0,E
1998,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,"35,537","197,037",24,E
1999,IMP,GROUNDFISH COD NSPF FILLET FRESH,ICELAND,"15,013","116,961",0,E
1999,IMP,GROUNDFISH COD NSPF FROZEN,NORWAY,"5,130","37,400",0,E
2000,IMP,GROUNDFISH COD ATLANTIC FILLET FROZEN,ICELAND,"2,032","11,122",0,E
1999,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,"6,750","108,338",0,E
2000,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,"90,540","1,576,215",0,E
2000,IMP,GROUNDFISH COD NSPF DRIED,SPAIN,566,"4,673",0,E
2001,IMP,GROUNDFISH POLLOCK NSPF FILLET FROZEN,NORWAY,"4,082","8,242",0,E
2000,IMP,GROUNDFISH COD ATLANTIC FILLET FROZEN,UNITED KINGDOM,"21,614","137,008",0,E
2001,IMP,GROUNDFISH HAKE (UROPHYCIS SPP.) FILLET FROZEN,SPAIN,"17,666","69,528",0,E
2002,IMP,GROUNDFISH HADDOCK FILLET FROZEN,NORWAY,"2,880","17,273",0,E
2003,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,ICELAND,"160,309","1,209,270",0,E
2006,IMP,GROUNDFISH HADDOCK FILLET FROZEN,NORWAY,"82,319","304,782",0,E
1991,IMP,GROUNDFISH CUSK FILLET FROZEN,UNITED KINGDOM,354,"2,102",15,E
1990,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE > 6.8KG,NORWAY,"14,310","29,318",0,E
1991,IMP,GROUNDFISH POLLOCK NSPF FILLET BLOCKS FROZEN > 4.5KG,ICELAND,"897,714","2,688,803",0,E
1990,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE > 6.8KG,ICELAND,"8,122","43,737",0,E
1990,IMP,GROUNDFISH OCEAN PERCH ATLANTIC FILLET FRESH,ICELAND,"2,721","10,558",112,E
1993,IMP,GROUNDFISH CUSK FROZEN,PORTUGAL,"10,528","36,885",0,E
1992,IMP,GROUNDFISH COD ATLANTIC FILLET BLOCKS FROZEN > 4.5KG,ICELAND,"4,657,921","20,668,234",0,E
1993,IMP,GROUNDFISH COD NSPF MEAT FROZEN > 6.8KG,ICELAND,"870,701","3,212,759",0,E
1995,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,6,"3,795",0,E
1994,IMP,GROUNDFISH HADDOCK FILLET FRESH,UNITED KINGDOM,"11,764","52,763",486,E
1994,IMP,GROUNDFISH COD NSPF FILLET BLOCKS FROZEN > 4.5KG,ICELAND,"71,701","263,864",0,E
1994,IMP,GROUNDFISH HADDOCK FILLET BLOCKS FROZEN > 4.5KG,DENMARK,"79,999","299,284",0,E
1996,IMP,GROUNDFISH COD ATLANTIC FILLET FROZEN,DENMARK,"21,954","150,387",549,E
1995,IMP,GROUNDFISH COD ATLANTIC FILLET FROZEN,NORWAY,"808,166","4,060,114","26,667",E
1996,IMP,GROUNDFISH COD NSPF DRIED,ICELAND,"17,370","202,762",17,E
1996,IMP,GROUNDFISH OCEAN PERCH ATLANTIC FILLET BLOCKS FROZEN > 4.5KG,ICELAND,"139,283","567,074",0,E
1998,IMP,GROUNDFISH HADDOCK FILLET FROZEN,ICELAND,"2,906,259","17,492,134","23,257",E
1999,IMP,GROUNDFISH COD ATLANTIC FILLET BLOCKS FROZEN > 4.5KG,NORWAY,"113,163","576,346",0,E
1991,IMP,GROUNDFISH COD NSPF FILLET BLOCKS FROZEN > 4.5KG,DENMARK,"427,495","2,152,123",0,E
1999,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE > 6.8KG,ICELAND,297,"2,681",0,E
2003,IMP,GROUNDFISH COD NSPF FROZEN,NORWAY,"6,899","31,181",0,E
2005,IMP,GROUNDFISH HADDOCK FROZEN,NORWAY,"2,694,581","7,443,809",0,E
2007,IMP,GROUNDFISH COD NSPF FILLET FROZEN,ICELAND,"14,607","130,148",0,E
2006,IMP,GROUNDFISH COD ATLANTIC FRESH,ICELAND,"36,109","279,988",0,E
2007,IMP,GROUNDFISH HADDOCK FILLET FRESH,ICELAND,"2,640","32,294",0,E
1989,IMP,GROUNDFISH COD NSPF FILLET FROZEN,NORWAY,"2,256,316","9,203,803","93,277",E
1992,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,ICELAND,"16,335","96,090",674,E
1990,IMP,GROUNDFISH OCEAN PERCH NSPF FRESH,NETHERLANDS,"2,134","13,695",24,E
1991,IMP,GROUNDFISH WHITING FILLET BLOCKS FROZEN > 4.5KG,PORTUGAL,"2,887","10,407",0,E
1994,IMP,GROUNDFISH HADDOCK FRESH,NORWAY,"22,976","51,221",0,E
1993,IMP,GROUNDFISH COD ATLANTIC FILLET FROZEN,NORWAY,"740,504","3,520,587","30,613",E
1995,IMP,GROUNDFISH COD NSPF FILLET FRESH,UNITED KINGDOM,"2,947","19,402",96,E
1994,IMP,GROUNDFISH OCEAN PERCH ATLANTIC FILLET BLOCKS FROZEN > 4.5KG,NORWAY,"21,420","58,677",0,E
1996,IMP,GROUNDFISH POLLOCK NSPF FILLET FROZEN,NORWAY,"227,920","658,202","5,698",E
1996,IMP,GROUNDFISH COD NSPF DRIED,ICELAND,"9,000","90,109",9,E
1996,IMP,GROUNDFISH HADDOCK FILLET BLOCKS FROZEN > 4.5KG,ICELAND,"2,373,368","7,551,653",0,E
1997,IMP,GROUNDFISH COD NSPF FILLET FRESH,ICELAND,"9,331","53,898",161,E
1998,IMP,GROUNDFISH COD ATLANTIC FILLET BLOCKS FROZEN > 4.5KG,ICELAND,"42,157","253,240",0,E
1998,IMP,GROUNDFISH COD ATLANTIC FILLET BLOCKS FROZEN > 4.5KG,DENMARK,"192,587","853,875",0,E
1999,IMP,"GROUNDFISH HAKE,WHITING FROZEN",PORTUGAL,672,"2,352",0,E
2001,IMP,GROUNDFISH COD NSPF MINCED FROZEN > 6.8KG,ICELAND,"208,372","262,858",0,E
2001,IMP,GROUNDFISH OCEAN PERCH NSPF FROZEN,PORTUGAL,"2,909","9,096",0,E
2004,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,"45,990","650,175",0,E
2006,IMP,GROUNDFISH HADDOCK FILLET FROZEN,ICELAND,"4,117,900","27,460,742",0,E
1990,IMP,GROUNDFISH COD ATLANTIC FILLET BLOCKS FROZEN > 4.5KG,NORWAY,"352,067","1,802,101",0,E
1990,IMP,GROUNDFISH HADDOCK FILLET FROZEN,UNITED KINGDOM,"36,135","176,905","1,494",E
1989,IMP,"GROUNDFISH COD,CUSK,HADDOCK,HAKE,POLLOCK SMOKED",UNITED KINGDOM,"66,599","229,567",0,E
1990,IMP,"GROUNDFISH CUSK,HAKE FILLET FROZEN",ICELAND,"814,897","2,946,581","33,689",E
1991,IMP,GROUNDFISH HADDOCK FILLET BLOCKS FROZEN > 4.5KG,DENMARK,"254,646","1,469,036",0,E
1992,IMP,GROUNDFISH COD NSPF FILLET FROZEN,ICELAND,"26,518","155,846","1,097",E
1994,IMP,GROUNDFISH COD ATLANTIC FRESH,ICELAND,221,"1,350",0,E
1995,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,ICELAND,"616,313","3,305,806","20,313",E
1998,IMP,GROUNDFISH OCEAN PERCH ATLANTIC FILLET FROZEN,GERMANY,"20,820","71,617",167,E
1997,IMP,GROUNDFISH OCEAN PERCH ATLANTIC FILLET FROZEN,ICELAND,"8,592","10,600",146,E
1999,IMP,GROUNDFISH HADDOCK FILLET FRESH,ICELAND,"1,326","11,580",0,E
2001,IMP,GROUNDFISH WHITING FILLET BLOCKS FROZEN > 4.5KG,PORTUGAL,"18,931","65,125",0,E
2004,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE > 6.8KG,NORWAY,"1,179","13,550",0,E
1990,IMP,GROUNDFISH OCEAN PERCH ATLANTIC FILLET BLOCKS FROZEN > 4.5KG,ICELAND,"186,987","508,616",0,E
1993,IMP,GROUNDFISH HADDOCK FRESH,ICELAND,"14,674","101,456",0,E
1994,IMP,GROUNDFISH POLLOCK NSPF FILLET BLOCKS FROZEN > 4.5KG,NETHERLANDS,"37,719","150,596",0,E
1997,IMP,"GROUNDFISH CUSK,POLLOCK FILLET FRESH",ICELAND,329,"1,571",6,E
1998,IMP,GROUNDFISH COD NSPF FILLET SALTED MOISTURE CONTENT BET 45-50%,ICELAND,590,"3,026",0,E
1999,IMP,GROUNDFISH COD ATLANTIC FILLET FROZEN,NORWAY,"1,701","8,625",0,E
2003,IMP,GROUNDFISH HADDOCK FILLET FROZEN,DENMARK,"92,282","531,396",0,E
2002,IMP,GROUNDFISH COD ATLANTIC FILLET BLOCKS FROZEN > 4.5KG,ICELAND,"214,346","959,211",0,E
2004,IMP,"GROUNDFISH COD,CUSK,HADDOCK,HAKE,POLLOCK SMOKED",UNITED KINGDOM,160,"5,879",0,E
2004,IMP,GROUNDFISH COD NSPF FROZEN,NORWAY,"20,430","92,250",0,E
2006,IMP,GROUNDFISH COD NSPF FILLET FRESH,ICELAND,"2,039","25,244",0,E
1989,IMP,GROUNDFISH POLLOCK ATLANTIC FRESH,SPAIN,"19,958","68,640",0,E
1992,IMP,GROUNDFISH COD NSPF FILLET FROZEN,DENMARK,"17,674","130,490",730,E
1993,IMP,GROUNDFISH OCEAN PERCH ATLANTIC FILLET BLOCKS FROZEN > 4.5KG,NORWAY,"2,245","26,374",0,E
1995,IMP,GROUNDFISH HADDOCK FROZEN,GERMANY,"13,850","82,402",0,E
1996,IMP,GROUNDFISH OCEAN PERCH NSPF FROZEN,NORWAY,"2,985","4,587",21,E
1998,IMP,GROUNDFISH COD NSPF DRIED,NETHERLANDS,"27,325","113,025",0,E
2000,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,"1,000","8,231",0,E
2000,IMP,GROUNDFISH COD ATLANTIC FILLET FROZEN,NORWAY,"13,085","61,988",0,E
1999,IMP,GROUNDFISH WHITING FILLET BLOCKS FROZEN > 4.5KG,SPAIN,800,"3,595",0,E
2001,IMP,GROUNDFISH HADDOCK MEAT FROZEN > 6.8KG,ICELAND,"16,764","74,804",0,E
2002,IMP,GROUNDFISH OCEAN PERCH ATLANTIC FILLET FRESH,ICELAND,"6,492","36,162",0,E
1989,IMP,GROUNDFISH POLLOCK ATLANTIC FRESH,ICELAND,"2,014","6,660",0,E
1989,IMP,"GROUNDFISH CUSK,HADDOCK,HAKE,POLLOCK FILLET FROZEN",DENMARK,"18,779","70,044",776,E
1993,IMP,GROUNDFISH COD NSPF FROZEN,NORWAY,450,"4,151",0,E
1994,IMP,GROUNDFISH COD ATLANTIC FROZEN,NORWAY,"18,461","29,353",0,E
1993,IMP,GROUNDFISH HADDOCK FILLET BLOCKS FROZEN > 4.5KG,GERMANY,"23,350","78,123",0,E
1995,IMP,GROUNDFISH COD NSPF FROZEN,PORTUGAL,800,"3,624",0,E
1995,IMP,GROUNDFISH COD NSPF FILLET FROZEN,ICELAND,"32,496","142,758","1,072",E
1997,IMP,"GROUNDFISH HAKE,WHITING FROZEN",PORTUGAL,"2,077","5,684",0,E
2000,IMP,GROUNDFISH HADDOCK FILLET BLOCKS FROZEN > 4.5KG,NORWAY,"52,049","265,139",0,E
2005,IMP,GROUNDFISH COD ATLANTIC FILLET FROZEN,UNITED KINGDOM,"49,869","371,323",0,E
2006,IMP,GROUNDFISH COD NSPF MEAT FROZEN > 6.8KG,NORWAY,"16,098","16,680",0,E
1994,IMP,GROUNDFISH COD NSPF FRESH,ICELAND,907,"5,700",0,E
1990,IMP,"GROUNDFISH CUSK,HAKE,POLLOCK FILLET FRESH",ICELAND,680,"2,013",28,E
1994,IMP,GROUNDFISH OCEAN PERCH ATLANTIC FILLET FROZEN,NORWAY,"19,998","50,307",827,E
1998,IMP,GROUNDFISH COD ATLANTIC FILLET BLOCKS FROZEN > 4.5KG,DENMARK,"120,946","500,017",0,E
2000,IMP,GROUNDFISH COD ATLANTIC FILLET FROZEN,NORWAY,"23,298","176,660",0,E
2002,IMP,GROUNDFISH COD ATLANTIC FRESH,FINLAND,871,"6,019",0,E
2001,IMP,GROUNDFISH HADDOCK FROZEN,ICELAND,588,"5,704",0,E
